timestamp,mode,SPTemp,SPHum,SPLight,actTemp,actHum,actLight,manHeater,manComp,manLight,manHum
0:1:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:3:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:5:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:7:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:9:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:11:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:13:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:15:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:17:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:19:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:21:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:23:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:25:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:27:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:29:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:31:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:33:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:35:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:37:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:39:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:41:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:43:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:45:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:47:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:49:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:51:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:53:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:55:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:57:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
0:59:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
1:1:14_1/3/2023,auto,23,90,0,31.4,77,0,False,False,25,False
1:3:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:5:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:7:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:9:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:11:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:13:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:15:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:17:14_1/3/2023,auto,23,90,0,31.4,76,0,False,False,25,False
1:19:14_1/3/2023,auto,23,90,0,31.3,76,0,False,False,25,False
1:21:14_1/3/2023,auto,23,90,0,31.3,76,0,False,False,25,False
